date,BREAD/BAKERY forecast,cumulated forecast,BREAD/BAKERY history,Inventory
2015-10-01,,,643.5440000295639,
2015-10-02,,,661.7200000286102,
2015-10-05,,,732.1850000023842,
2015-10-06,,,614.0,
2015-10-07,,,774.0,
2015-10-08,,,586.0,
2015-10-09,,,630.0,
2015-10-12,,,565.0,
2015-10-13,,,525.0,
2015-10-14,,,647.4959999918938,
2015-10-15,,,536.7509999871254,
2015-10-16,,,722.2560000121593,
2015-10-19,,,583.0,
2015-10-20,,,610.4650000035763,
2015-10-21,,,620.0,
2015-10-22,,,535.0,
2015-10-23,,,656.180999994278,
2015-10-26,,,593.0,
2015-10-27,,,572.2910000085831,
2015-10-28,,,473.0,
2015-10-29,,,432.0,
2015-10-30,,,553.0,
2015-11-02,,,489.1650000065565,
2015-11-03,,,758.0,
2015-11-04,,,677.2399999946356,
2015-11-05,,,620.0,
2015-11-06,,,596.0,
2015-11-09,,,692.0,
2015-11-10,,,636.0,
2015-11-11,,,646.0,
2015-11-12,,,556.0,
2015-11-13,,,529.0,
2015-11-16,,,665.0,
2015-11-17,,,512.0,
2015-11-18,,,721.0,
2015-11-19,,,527.0,
2015-11-20,,,686.0,
2015-11-23,,,632.0,
2015-11-24,,,544.0,
2015-11-25,,,561.0,
2015-11-26,,,493.0,
2015-11-27,,,603.0,
2015-11-30,,,550.0,
2015-12-01,,,617.0,
2015-12-02,,,665.0,
2015-12-03,,,586.0,
2015-12-04,,,555.0,
2015-12-07,,,613.0,
2015-12-08,,,590.0,
2015-12-09,,,607.0,
2015-12-10,,,519.0,
2015-12-11,,,536.0,
2015-12-14,,,630.0,
2015-12-15,,,559.0,
2015-12-16,,,702.0,
2015-12-17,,,561.0,
2015-12-18,,,562.0,
2015-12-21,,,681.0,
2015-12-22,,,689.0,
2015-12-23,,,735.0,
2015-12-24,,,572.0,
2015-12-25,,,0.0,
2015-12-28,,,501.0,
2015-12-29,,,585.0,
2015-12-30,,,617.0,
2015-12-31,,,690.5509999990463,
2016-01-01,626.0278202116288,626.0278202116288,,9373.972179788372
2016-01-04,582.2460956324082,1208.273915844037,,8791.726084155964
2016-01-05,593.7841544798647,1802.0580703239016,,8197.941929676099
2016-01-06,608.2145400083787,2410.2726103322802,,7589.72738966772
2016-01-07,606.4002232465864,3016.6728335788666,,6983.327166421133
2016-01-08,656.772958844331,3673.4457924231974,,6326.554207576803
2016-01-11,613.2594132678886,4286.705205691086,,5713.294794308914
2016-01-12,464.66531266475226,4751.370518355839,,5248.629481644161
2016-01-13,563.0463078410014,5314.41682619684,,4685.58317380316
2016-01-14,578.9765546456159,5893.393380842455,,4106.606619157545
2016-01-15,609.3712274942234,6502.764608336679,,3497.235391663321
2016-01-18,621.7820230840119,7124.546631420691,,2875.4533685793094
2016-01-19,620.5258745489577,7745.072505969649,,2254.927494030351
2016-01-20,571.9201013373558,8316.992607307006,,1683.0073926929945
2016-01-21,593.7841544798647,8910.77676178687,,1089.2232382131297
2016-01-22,608.2145400083787,9518.99130179525,,481.00869820475054
2016-01-25,606.4002232465864,10125.391525041836,,-125.39152504183585
2016-01-26,656.772958844331,10782.164483886167,,-782.1644838861666
2016-01-27,613.2594132678886,11395.423897154054,,-1395.4238971540544
2016-01-28,464.66531266475226,11860.089209818807,,-1860.089209818807
2016-01-29,563.0463078410014,12423.135517659808,,-2423.135517659808
